Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
25,Yes,Non-Travel,156,Human Resources,18,2,Other,1,1,1,Female,58,4,5,Manager,1,Single,4367,26958,2,Y,No,23,3,2,80,3,7,2,1,0,0,0,0
27,Yes,Travel_Frequently,1389,Research & Development,20,3,Human Resources,1,2,1,Male,38,1,3,Laboratory Technician,1,Married,4178,4708,6,Y,No,24,3,4,80,0,7,3,4,3,2,0,0
47,Yes,Non-Travel,1242,Research & Development,8,3,Life Sciences,1,3,2,Male,34,3,3,Manufacturing Director,2,Married,7874,4262,5,Y,Yes,14,4,4,80,1,24,5,2,20,11,5,11
43,No,Travel_Rarely,1145,Research & Development,16,1,Life Sciences,1,4,3,Male,49,2,5,Manufacturing Director,4,Divorced,9090,4175,2,Y,No,17,4,2,80,3,21,4,4,20,14,4,8
53,No,Non-Travel,641,Research & Development,17,2,Human Resources,1,5,4,Male,68,2,3,Laboratory Technician,1,Married,18604,7387,1,Y,No,19,3,2,80,2,30,3,3,27,0,21,23
25,No,Travel_Rarely,644,Sales,17,5,Technical Degree,1,6,2,Male,99,2,1,Manager,1,Married,19600,15168,3,Y,No,21,4,4,80,3,7,4,2,5,2,1,0
25,Yes,Travel_Rarely,778,Research & Development,3,5,Medical,1,7,1,Female,92,2,2,Research Director,1,Single,19159,25796,0,Y,Yes,25,4,2,80,1,3,6,1,3,1,0,2
44,No,Travel_Rarely,611,Research & Development,7,2,Human Resources,1,8,1,Female,47,4,4,Laboratory Technician,1,Married,12618,17253,6,Y,No,14,3,4,80,3,23,6,1,6,0,0,5
24,Yes,Travel_Frequently,645,Human Resources,26,4,Marketing,1,9,2,Female,92,2,4,Human Resources,4,Married,14326,9227,2,Y,Yes,11,3,4,80,2,3,0,1,0,0,0,0
55,No,Travel_Frequently,1448,Sales,19,5,Human Resources,1,10,2,Female,63,2,5,Manager,4,Divorced,3254,12389,2,Y,Yes,14,4,1,80,3,37,1,1,15,5,1,2
59,No,Travel_Rarely,602,Human Resources,12,3,Medical,1,11,3,Female,99,3,5,Human Resources,1,Divorced,16026,20267,0,Y,Yes,15,3,2,80,1,37,2,2,9,7,5,1
24,No,Travel_Frequently,192,Sales,1,3,Medical,1,12,1,Female,50,4,3,Manager,4,Divorced,7910,16108,4,Y,No,19,3,1,80,0,5,0,3,5,4,1,2
27,No,Non-Travel,312,Human Resources,12,5,Technical Degree,1,13,3,Male,60,2,2,Human Resources,3,Married,15092,2906,2,Y,No,13,4,2,80,3,9,6,1,8,0,5,8
